RXMLlang,639-3,639-2/T,639-2/B,RXMLxl,useflag,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00
Nepali  2012,nep,nep,nep,Nepali2012Bible.xml,0.00,उत्पत्ति,प्रस्थान,लेवी,गणना,व्यवस्था विवरण,यहोशू,न्यायकर्ता,रूथ,१ शमूएल,२ शमूएल,१ राजा,२ राजा,१ इतिहास,२ इतिहास,एज्रा,नहेम्याह,एस्तर,अय्यूब,भजनसंग्रह,हितोपदेश,उपदेशक,श्रेष्ठगीत,यशैया,यिर्मिया,विलापगीत,यहेज्केल,दानिएल,होशे,योएल,आमोस,ओबद्याह,योना,मीका,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकरिया,मलाखी,मत्ती,मार्क,लूका,यूहन्ना,प्रेरितहरूको काम,रोमी,१ कुरिन्थी,२ कुरिन्थी,गलाती,एफिसी,फिलिप्पी,कलस्सी,१ थेस्सलोनिकी,२ थेस्सलोनिकी,१ तिमोथी,२ तिमोथी,तीतुस,फिलेमोन,हिब्रू,याकूब,१ पेत्रुस,२ पेत्रुस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाश
Nepali  2021,nep,nep,nep,Nepali2021Bible.xml,0.00,उत्पत्ति,प्रस्थान,लेवी,गणना,व्यवस्था विवरण,यहोशू,न्यायकर्ता,रूथ,१ शमूएल,२ शमूएल,१ राजा,२ राजा,१ इतिहास,२ इतिहास,एज्रा,नहेम्याह,एस्तर,अय्यूब,भजनसंग्रह,हितोपदेश,उपदेशक,श्रेष्ठगीत,यशैया,यिर्मिया,विलापगीत,यहेज्केल,दानिएल,होशे,योएल,आमोस,ओबद्याह,योना,मीका,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकरिया,मलाखी,मत्ती,मार्क,लूका,यूहन्ना,प्रेरितहरूको काम,रोमी,१ कुरिन्थी,२ कुरिन्थी,गलाती,एफिसी,फिलिप्पी,कलस्सी,१ थेस्सलोनिकी,२ थेस्सलोनिकी,१ तिमोथी,२ तिमोथी,तीतुस,फिलेमोन,हिब्रू,याकूब,१ पेत्रुस,२ पेत्रुस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाश
Nepali,nep,nep,nep,NepaliBible.xml,0.00,उत्पत्ति,प्रस्थान,लेवी,गणना,व्यवस्था विवरण,यहोशू,न्यायकर्ता,रूथ,१ शमूएल,२ शमूएल,१ राजा,२ राजा,१ इतिहास,२ इतिहास,एज्रा,नहेम्याह,एस्तर,अय्यूब,भजनसंग्रह,हितोपदेश,उपदेशक,श्रेष्ठगीत,यशैया,यिर्मिया,विलापगीत,यहेज्केल,दानिएल,होशे,योएल,आमोस,ओबद्याह,योना,मीका,नहूम,हबक्कूक,सपन्याह,हाग्गै,जकरिया,मलाखी,मत्ती,मार्क,लूका,यूहन्ना,प्रेरितहरूको काम,रोमी,१ कुरिन्थी,२ कुरिन्थी,गलाती,एफिसी,फिलिप्पी,कलस्सी,१ थेस्सलोनिकी,२ थेस्सलोनिकी,१ तिमोथी,२ तिमोथी,तीतुस,फिलेमोन,हिब्रू,याकूब,१ पेत्रुस,२ पेत्रुस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाश
Nepali Tamang,taj,—,—,NepaliTamangBible.xml,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,मत्ती,मार्क,लूका,यूहन्ना,प्रेरितहरूको काम,रोमी,१ कुरिन्थी,२ कुरिन्थी,गलाती,एफिसी,फिलिप्पी,कलस्सी,१ थेस्सलोनिकी,२ थेस्सलोनिकी,१ तिमोथी,२ तिमोथी,तीतुस,फिलेमोन,हिब्रू,याकूब,१ पेत्रुस,२ पेत्रुस,१ यूहन्ना,२ यूहन्ना,३ यूहन्ना,यहूदा,प्रकाश
Nigerian Pidgin,pcm,—,—,NigerianPidginBible.xml,0.00,Jenesisi,Eksodus,Levitikus,Nomba,Duteronomi,Joshuwa,Jojes,Rut,1 Samuel,2 Samuel,1 Kings,2 Kings,1 Kronikol,2 Kronikol,Ezra,Nehemai,Esta,Job,Psalm,Proverb,Eklesiastis,Song of Solomon,Aisaiah,Jeremaya,Lamenteshon,Ezekiel,Daniel,Oseya,Joel,Amos,Obadaya,Jonah,Mika,Nahum,Habakuk,Zefanaya,Haggai,Zekaraya,Malakai,Matyu,Mark,Luk,Jon,Apostol Dem Work,Rom Dem,1 Korint,2 Korint,Galatia,Efesos,Filip,Kolose,1 Tesalonika,2 Tesalonika,1 Timoti,2 Timoti,Titus,Filemon,Hebru,James,1 Peter,2 Peter,1 Jon,2 Jon,3 Jon,Jude,Reveleshon
Norwegian  1921,nor,nor,nor,Norwegian1921Bible.xml,1,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian  1938,nor,nor,nor,Norwegian1938Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian  1978,nor,nor,nor,Norwegian1978Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian  2007,nor,nor,nor,Norwegian2007Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian  2011,nor,nor,nor,Norwegian2011Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian  2018,nor,nor,nor,Norwegian2018Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian BGO,nor,nor,nor,NorwegianBGOBible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian BIBEL 1978,nor,nor,nor,NorwegianBIBEL1978Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian,nor,nor,nor,NorwegianBible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian ELB,nor,nor,nor,NorwegianELBBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
NorwegianN78BMBible.xml,nor,nor,nor,NorwegianN78BMBible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
NorwegianN78NNBible.xml,nor,nor,nor,NorwegianN78NNBible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Norwegian NY 2011,nor,nor,nor,NorwegianNY2011Bible.xml,0.00,1 Mosebok,2 Mosebok,3 Mosebok,4 Mosebok,5 Mosebok,Josva,Dommerne,Rut,1 Samuelsbok,2 Samuelsbok,1 Kongebok,2 Kongebok,1 Krønikebok,2 Krønikebok,Esra,Nehemja,Esters bok,Job,Salmenes bok,Ordspråkene,Forkynneren,Høysangen,Jesaja,Jeremia,Klagesangene,Esekiel,Daniel,Hosea,Joel,Amos,Obadja,Jona,Mika,Nahum,Habakkuk,Sefanja,Haggai,Sakarja,Malaki,Matteus,Markus,Lukas,Johannes,Apostlenes gjerninger,Romerne,1 Korinterbrev,2 Korinterbrev,Galaterne,Efeserne,Filipperne,Kolosserne,1 Tessalonikerbrev,2 Tessalonikerbrev,1 Timoteusbrev,2 Timoteusbrev,Titusbrev,Filemon,Hebreerne,Jakob,1 Petersbrev,2 Petersbrev,1 Johannesbrev,2 Johannesbrev,3 Johannesbrev,Judas,Johannes’ åpenbaring
Nuer,nus,—,—,NuerBible.xml,0.00,Genesis,Exodus,Leviticus,Numbers,Deuteronomy,Joshua,Judges,Ruth,1 Samuel,2 Samuel,1 Kings,2 Kings,1 Chronicles,2 Chronicles,Ezra,Nehemiah,Esther,Job,Psalms,Proverbs,Ecclesiastes,Song of Songs,Isaiah,Jeremiah,Lamentations,Ezekiel,Daniel,Hosea,Joel,Amos,Obadiah,Jonah,Micah,Nahum,Habakkuk,Zephaniah,Haggai,Zechariah,Malachi,Matthew,Mark,Luke,John,Acts,Romans,1 Corinthians,2 Corinthians,Galatians,Ephesians,Philippians,Colossians,1 Thessalonians,2 Thessalonians,1 Timothy,2 Timothy,Titus,Philemon,Hebrews,James,1 Peter,2 Peter,1 John,2 John,3 John,Jude,Revelation
Nyankole  1964,nyn,—,—,Nyankole1964Bible.xml,0.00,Entandikwa,Okuva,Eby’Abaleevi,Okubala,Ebyamateeka,Yoswa,Abac judges,Luti,1 Samwiri,2 Samwiri,1 Abakama,2 Abakama,1 Ebyafaayo,2 Ebyafaayo,Ezira,Neemiya,Esiteeri,Yobu,Zaburi,Engero,Omubuulizi,Oluyimba lwa Sulemaani,Isaaya,Yeremiya,Okukaaba,Ezekyeri,Danyeri,Oseya,Yoeli,Amosi,Obadiya,Yona,Mika,Nahumu,Habakuku,Zefaniya,Agayi,Zekaliya,Malaki,Matayo,Makko,Luka,Yohana,Ebikolwa by’Abatume,Abaroma,1 Abakorinto,2 Abakorinto,Abagalatiya,Abefeso,Abafiripi,Abakolosaayi,1 Abatesalonika,2 Abatesalonika,1 Timoteo,2 Timoteo,Tito,Filemoni,Abaheberi,Yakobo,1 Peetero,2 Peetero,1 Yohana,2 Yohana,3 Yohana,Yuda,Okubikkulirwa
NyankoleBible1994.xml,nyn,—,—,NyankoleBible1994.xml,0.00,Entandikwa,Okuva,Eby’Abaleevi,Okubala,Ebyamateeka,Yoswa,Abac judges,Luti,1 Samwiri,2 Samwiri,1 Abakama,2 Abakama,1 Ebyafaayo,2 Ebyafaayo,Ezira,Neemiya,Esiteeri,Yobu,Zaburi,Engero,Omubuulizi,Oluyimba lwa Sulemaani,Isaaya,Yeremiya,Okukaaba,Ezekyeri,Danyeri,Oseya,Yoeli,Amosi,Obadiya,Yona,Mika,Nahumu,Habakuku,Zefaniya,Agayi,Zekaliya,Malaki,Matayo,Makko,Luka,Yohana,Ebikolwa by’Abatume,Abaroma,1 Abakorinto,2 Abakorinto,Abagalatiya,Abefeso,Abafiripi,Abakolosaayi,1 Abatesalonika,2 Abatesalonika,1 Timoteo,2 Timoteo,Tito,Filemoni,Abaheberi,Yakobo,1 Peetero,2 Peetero,1 Yohana,2 Yohana,3 Yohana,Yuda,Okubikkulirwa
Odia  2024,ory,—,—,Odia2024Bible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ମାଥି,ମାର୍କ,ଲୂକ,ଯୋହନ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟ,ରୋମୀୟ,1 କରିନ୍ଥୀ,2 କରିନ୍ଥୀ,ଗଲାତୀୟ,ଏଫିସୀୟ,ଫିଲିପ୍ପୀୟ,କଲସୀୟ,1 ଥେସଲୋନୀକୀ,2 ଥେସଲୋନୀକୀ,1 ତିମୋଥୀ,2 ତିମୋଥୀ,ତୀତ,ଫିଲେମୋନ,ହିବ୍ରୀୟ,ଯାକୁବ,1 ପେତ୍ର,2 ପେତ୍ର,1 ଯୋହନ,2 ଯୋହନ,3 ଯୋହନ,ଯୁଦା,ପ୍ରକାଶିତବାକ୍ୟ
Odia BSI,ory,—,—,OdiaBSIBible.xml,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ମାଥି,ମାର୍କ,ଲୂକ,ଯୋହନ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟ,ରୋମୀୟ,1 କରିନ୍ଥୀ,2 କରିନ୍ଥୀ,ଗଲାତୀୟ,ଏଫିସୀୟ,ଫିଲିପ୍ପୀୟ,କଲସୀୟ,1 ଥେସଲୋନୀକୀ,2 ଥେସଲୋନୀକୀ,1 ତିମୋଥୀ,2 ତିମୋଥୀ,ତୀତ,ଫିଲେମୋନ,ହିବ୍ରୀୟ,ଯାକୁବ,1 ପେତ୍ର,2 ପେତ୍ର,1 ଯୋହନ,2 ଯୋହନ,3 ଯୋହନ,ଯୁଦା,ପ୍ରକାଶିତବାକ୍ୟ
Odia,ory,—,—,OdiaBible.xml,0.00,ଉତ୍ପତ୍ତି,ପ୍ରସ୍ଥାନ,ଲେବୀୟ,ଗଣନା,ଦ୍ୱିତୀୟ ବିବରଣ,ଯିହୋଶୁଆ,ନ୍ୟାୟାଧୀଶ,ରୁଥ,1 ସମୁଏଲ,2 ସମୁଏଲ,1 ରାଜା,2 ରାଜା,1 ଇତିହାସ,2 ଇତିହାସ,ଏଜ୍ରା,ନହେମିୟା,ଏଷ୍ଟର,ଯୋବ,ଗୀତସଂହିତା,ହିତୋପଦେଶ,ଉପଦେଶକ,ଶ୍ରେଷ୍ଠଗୀତ,ଯିଶାୟା,ଯିରିମିୟା,ବିଳାପଗୀତ,ଯିହେଜ୍କିଏଲ,ଦାନିଏଲ,ହୋଶେୟ,ଯୋଏଲ,ଆମୋସ,ଓବଦିୟା,ଯୋନା,ମୀକା,ନାହୂମ,ହବକ୍କୂକ,ସଫନିୟା,ହଗ୍ଗୟ,ଜଖରିୟା,ମଲାଖୀ,ମାଥି,ମାର୍କ,ଲୂକ,ଯୋହନ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟ,ରୋମୀୟ,1 କରିନ୍ଥୀ,2 କରିନ୍ଥୀ,ଗଲାତୀୟ,ଏଫିସୀୟ,ଫିଲିପ୍ପୀୟ,କଲସୀୟ,1 ଥେସଲୋନୀକୀ,2 ଥେସଲୋନୀକୀ,1 ତିମୋଥୀ,2 ତିମୋଥୀ,ତୀତ,ଫିଲେମୋନ,ହିବ୍ରୀୟ,ଯାକୁବ,1 ପେତ୍ର,2 ପେତ୍ର,1 ଯୋହନ,2 ଯୋହନ,3 ଯୋହନ,ଯୁଦା,ପ୍ରକାଶିତବାକ୍ୟ
Odia ERV,ory,—,—,OdiaERVBible.xml,0.00,ଉତ୍ପତ୍ତି,ପ୍ରସ୍ଥାନ,ଲେବୀୟ,ଗଣନା,ଦ୍ୱିତୀୟ ବିବରଣ,ଯିହୋଶୁଆ,ନ୍ୟାୟାଧୀଶ,ରୁଥ,1 ସମୁଏଲ,2 ସମୁଏଲ,1 ରାଜା,2 ରାଜା,1 ଇତିହାସ,2 ଇତିହାସ,ଏଜ୍ରା,ନହେମିୟା,ଏଷ୍ଟର,ଯୋବ,ଗୀତସଂହିତା,ହିତୋପଦେଶ,ଉପଦେଶକ,ଶ୍ରେଷ୍ଠଗୀତ,ଯିଶାୟା,ଯିରିମିୟା,ବିଳାପଗୀତ,ଯିହେଜ୍କିଏଲ,ଦାନିଏଲ,ହୋଶେୟ,ଯୋଏଲ,ଆମୋସ,ଓବଦିୟା,ଯୋନା,ମୀକା,ନାହୂମ,ହବକ୍କୂକ,ସଫନିୟା,ହଗ୍ଗୟ,ଜଖରିୟା,ମଲାଖୀ,ମାଥି,ମାର୍କ,ଲୂକ,ଯୋହନ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟ,ରୋମୀୟ,1 କରିନ୍ଥୀ,2 କରିନ୍ଥୀ,ଗଲାତୀୟ,ଏଫିସୀୟ,ଫିଲିପ୍ପୀୟ,କଲସୀୟ,1 ଥେସଲୋନୀକୀ,2 ଥେସଲୋନୀକୀ,1 ତିମୋଥୀ,2 ତିମୋଥୀ,ତୀତ,ଫିଲେମୋନ,ହିବ୍ରୀୟ,ଯାକୁବ,1 ପେତ୍ର,2 ପେତ୍ର,1 ଯୋହନ,2 ଯୋହନ,3 ଯୋହନ,ଯୁଦା,ପ୍ରକାଶିତବାକ୍ୟ
Odia IRV 2017,ory,—,—,OdiaIRV2017Bible.xml,0.00,ଉତ୍ପତ୍ତି,ପ୍ରସ୍ଥାନ,ଲେବୀୟ,ଗଣନା,ଦ୍ୱିତୀୟ ବିବରଣ,ଯିହୋଶୁଆ,ନ୍ୟାୟାଧୀଶ,ରୁଥ,1 ସମୁଏଲ,2 ସମୁଏଲ,1 ରାଜା,2 ରାଜା,1 ଇତିହାସ,2 ଇତିହାସ,ଏଜ୍ରା,ନହେମିୟା,ଏଷ୍ଟର,ଯୋବ,ଗୀତସଂହିତା,ହିତୋପଦେଶ,ଉପଦେଶକ,ଶ୍ରେଷ୍ଠଗୀତ,ଯିଶାୟା,ଯିରିମିୟା,ବିଳାପଗୀତ,ଯିହେଜ୍କିଏଲ,ଦାନିଏଲ,ହୋଶେୟ,ଯୋଏଲ,ଆମୋସ,ଓବଦିୟା,ଯୋନା,ମୀକା,ନାହୂମ,ହବକ୍କୂକ,ସଫନିୟା,ହଗ୍ଗୟ,ଜଖରିୟା,ମଲାଖୀ,ମାଥି,ମାର୍କ,ଲୂକ,ଯୋହନ,ପ୍ରେରିତମାନଙ୍କ କାର୍ଯ୍ୟ,ରୋମୀୟ,1 କରିନ୍ଥୀ,2 କରିନ୍ଥୀ,ଗଲାତୀୟ,ଏଫିସୀୟ,ଫିଲିପ୍ପୀୟ,କଲସୀୟ,1 ଥେସଲୋନୀକୀ,2 ଥେସଲୋନୀକୀ,1 ତିମୋଥୀ,2 ତିମୋଥୀ,ତୀତ,ଫିଲେମୋନ,ହିବ୍ରୀୟ,ଯାକୁବ,1 ପେତ୍ର,2 ପେତ୍ର,1 ଯୋହନ,2 ଯୋହନ,3 ଯୋହନ,ଯୁଦା,ପ୍ରକାଶିତବାକ୍ୟ
